seller_id,seller_state,delivered_orders,gmv,avg_delivery_delay_days,avg_review_score,late_delivery_rate,severe_delay_rate,poor_review_rate,sla_risk_score
59fb871bf6f4522a87ba567b42dafecf,SP,123,23192.180000000004,-14.601626016260164,4.276422764227642,0.056910569105691,0.008130081300813,0.073170731707317,3205.4232520325204
b2479f944e1b90cf8a5de1bbfde284d6,SP,101,6874.229999999999,-8.227722772277227,3.5,0.1188118811881188,0.0693069306930693,0.2772277227722772,3198.899108910891
2a261b5b644fa05f4f2700eb93544f2c,SP,51,7396.73,-9.666666666666666,3.862745098039216,0.1568627450980392,0.0588235294117647,0.2156862745098039,3190.746274509804
06e5eefc71ec47ae763c5c6f8db7064f,RS,90,23800.319999999996,-16.733333333333334,3.977272727272727,0.0,0.0,0.1333333333333333,3173.3759999999993
fa40cc5b934574b62717c68f3d678b6d,SP,304,20383.009999999995,-11.1875,4.481848184818482,0.0526315789473684,0.0296052631578947,0.0723684210526315,3151.3206249999994
f262cbc1c910c83959f849465454ddd3,SP,189,12654.9,-9.724867724867725,4.180851063829787,0.074074074074074,0.037037037037037,0.1375661375661375,3146.9857142857145
23d7c96d4a1160db1c726b248601b25a,SP,50,11947.17,-10.98,3.9270833333333335,0.1,0.0,0.16,3106.2642
00fc707aaaad2d31347cf883cd2dfe10,PR,103,14969.990000000002,-15.533980582524272,4.063725490196078,0.0388349514563106,0.0097087378640776,0.1553398058252427,3052.1338834951453
d650b663c3b5f6fb392b6326366efa9a,SP,57,19188.01000000001,-11.63157894736842,4.368421052631579,0.0526315789473684,0.0350877192982456,0.0701754385964912,3029.685789473685
5656537e588803a555b8eb41f07a944b,DF,171,11255.55,-11.76608187134503,3.8947368421052633,0.0584795321637426,0.023391812865497,0.1871345029239766,3027.808771929824
e8b3a3a38279a82f0e5d006d5e5b7d2c,PR,80,13408.21,-18.6,4.0125,0.0375,0.025,0.1625,3016.8472500000003
86ccac0b835037332a596a33b6949ee1,SC,178,19799.949999999997,-14.98876404494382,4.228813559322034,0.0224719101123595,0.0112359550561797,0.1179775280898876,3003.36320224719
813348c996469b40f2e028d5429d3495,SP,172,14271.23,-10.645348837209305,4.06508875739645,0.0465116279069767,0.0174418604651162,0.1453488372093023,2987.0016279069773
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,74,5658.699999999999,-6.756756756756757,3.5821917808219177,0.1756756756756756,0.081081081081081,0.2702702702702703,2982.2878378378377
2e1c9f22be269ef4643f826c9e650a52,SP,161,14491.52,-10.4472049689441,4.24375,0.062111801242236,0.031055900621118,0.1118012422360248,2970.3115527950313
669ae81880e08f269a64487cfb287169,SC,161,16485.2,-13.919254658385093,4.2625,0.0434782608695652,0.0186335403726708,0.1180124223602484,2969.3838509316774
1e8b33f18b4f7598d87f5cbee2282cc2,SP,122,19924.070000000003,-10.934426229508198,4.4,0.0327868852459016,0.0081967213114754,0.1065573770491803,2939.6168852459023
f27e33c6d29b5138fa9967bcd445b6d5,SP,93,10482.25,-10.333333333333334,4.096774193548387,0.086021505376344,0.032258064516129,0.1612903225806451,2930.5215053763436
85d9eb9ddc5d00ca9336a2219c97bb13,MG,499,23539.91,-15.691382765531062,4.223790322580645,0.0220440881763527,0.0100200400801603,0.0921843687374749,2924.7984368737475
4b9750c8ad28220fe6702d4ecb7c898f,SP,217,19173.85,-9.36405529953917,4.364055299539171,0.0599078341013824,0.0230414746543778,0.0691244239631336,2915.8389400921665
