cohort_month,month_number,active_customers,cohort_customers,orders,cohort_gmv,cumulative_gmv,cumulative_gmv_per_cohort_customer
2017-03-01,2,9,2503,9,1737.12,417133.7599999997,166.65351977626835
2017-03-01,3,10,2503,12,1836.1,418969.8599999997,167.38707950459437
2017-03-01,4,9,2503,9,1213.97,420183.82999999967,167.872085497403
2017-03-01,5,4,2503,4,1433.39,421617.2199999997,168.44475429484606
2017-03-01,6,4,2503,4,689.18,422306.3999999997,168.72009588493793
2017-03-01,7,8,2503,8,887.42,423193.81999999966,169.07463843387922
2017-03-01,8,8,2503,8,1385.61,424579.4299999997,169.628218138234
2017-03-01,9,2,2503,2,237.96,424817.38999999966,169.72328805433466
2017-03-01,10,9,2503,9,725.9300000000001,425543.31999999966,170.01331202556918
2017-03-01,11,3,2503,3,380.2999999999999,425923.6199999997,170.16524970035942
2017-03-01,12,5,2503,5,907.29,426830.9099999996,170.5277307231321
2017-03-01,13,3,2503,3,238.58,427069.4899999997,170.62304834198946
2017-03-01,14,4,2503,4,687.41,427756.8999999996,170.89768278066305
2017-03-01,15,6,2503,6,717.5500000000001,428474.4499999996,171.18435876947646
2017-03-01,16,2,2503,2,203.88,428678.3299999996,171.2658130243706
2017-03-01,17,3,2503,3,308.56,428986.8899999996,171.38908909308813
2017-04-01,0,2256,2256,2284,388556.9199999997,388556.9199999997,172.2326773049644
2017-04-01,1,14,2256,15,2937.0,391493.9199999997,173.53453900709206
2017-04-01,2,5,2256,6,940.4,392434.3199999997,173.95138297872327
2017-04-01,3,4,2256,5,758.21,393192.52999999974,174.28746897163109
2017-04-01,4,6,2256,6,1158.3000000000002,394350.8299999997,174.8008998226949
2017-04-01,5,6,2256,6,1208.34,395559.16999999975,175.33651152482258
2017-04-01,6,8,2256,9,2083.83,397642.99999999977,176.2601950354609
2017-04-01,7,7,2256,7,1096.55,398739.54999999976,176.746254432624
2017-04-01,8,7,2256,7,963.99,399703.53999999975,177.1735549645389
2017-04-01,9,4,2256,4,499.8200000000001,400203.35999999975,177.3951063829786
2017-04-01,10,6,2256,6,694.78,400898.1399999998,177.70307624113465
2017-04-01,11,2,2256,2,343.16999999999996,401241.30999999976,177.8551906028368
2017-04-01,12,1,2256,1,175.13,401416.43999999977,177.93281914893606
2017-04-01,13,1,2256,1,271.64,401688.0799999998,178.0532269503545
2017-04-01,14,2,2256,2,301.83,401989.9099999998,178.18701684397155
2017-04-01,15,2,2256,2,272.63,402262.5399999998,178.3078634751772
2017-04-01,16,3,2256,4,962.61,403225.1499999998,178.73455230496444
2017-05-01,0,3451,3451,3517,562027.6299999997,562027.6299999997,162.8593538104896
2017-05-01,1,16,3451,17,1931.57,563959.1999999996,163.41906693711957
2017-05-01,2,16,3451,16,2857.5499999999997,566816.7499999997,164.24710228919145
2017-05-01,3,10,3451,10,1835.74,568652.4899999996,164.77904665314392
2017-05-01,4,10,3451,10,1219.0399999999995,569871.5299999997,165.1322891915386
2017-05-01,5,11,3451,12,1638.4700000000005,571509.9999999997,165.60707041437254
2017-05-01,6,14,3451,16,3002.26,574512.2599999997,166.47703853955366
2017-05-01,7,5,3451,5,608.02,575120.2799999997,166.65322515212972
2017-05-01,8,9,3451,9,1623.52,576743.7999999997,167.12367429730503
